Nome do Livro,Autor,Valor,Frete,Condição,Editora,Ano de Publicação,ISBN,Idioma,Loja,Reviews da Loja
O Menino do Pijama Listrado 194s,John Boyne*,"R$ 15,00","R$ 12,92",seminovo/usad,Companhia das Letras,2013,9788535911121,Português,['https://www.estantevirtual.com.br/livros/john-boyne-/o-menino-do-pijama-listrado-194s'],50% Positivas
O Hobbit,J. R. R. Tolkien,"R$ 20,00","R$ 11,24",seminovo/usad,Martinsfontes,2011,9788578273873,Português,['https://www.estantevirtual.com.br/amigo-sebo'],100% Positivas
O Silmarillion,J. R. R. Tolkien,"R$ 20,00","R$ 12,92",seminovo/usad,Wmf Martins Fontes,2009,9788578271268,Português,['https://www.estantevirtual.com.br/sebolebrasil'],100% Positivas
Os Filhos de Húrin,J. R. R  Tolkien,"R$ 20,00","R$ 10,61",seminovo/usad,Martins Fontes,2009,9788578271985,Português,['https://www.estantevirtual.com.br/lerlivros'],98% Positivas
O Senhor dos Aneis - a Sociedade do Anel - Vol 1,J. R. R. Tolkien,"R$ 18,00","R$ 13,87",seminovo/usad,Martins Fontes,2002,9788533613379,Português,['https://www.estantevirtual.com.br/osmelhoreslivros'],100% Positivas
Contos Inacabados,J. R. R. Tolien,"R$ 18,32","R$ 14,40",seminovo/usad,Marins Fontes,2002,9788533615373,Português,['https://www.estantevirtual.com.br/3f-livraria'],100% Positivas
Entrevista Com o Vampiro,Anne Rice,"R$ 26,33","R$ 10,61",seminovo/usad,Rocc,n/d,8532501028,Português,['https://www.estantevirtual.com.br/antiqvalivros'],100% Positivas
Dom Quixote,Miguel de Cervantes: Leonardo Chianca,"R$ 8,90","R$ 9,40",seminovo/usad,Dcl,2005,9788536800172,Português,['https://www.estantevirtual.com.br/livrologia_pacl'],99% Positivas
Memórias Póstumas de Brás Cubas,Machado de Assis,"R$ 8,00","R$ 9,93",seminovo/usad,Átic,1975,dioma: Português,Português,['https://www.estantevirtual.com.br/sabordosaber'],100% Positivas
A Espada do Destino - the Witcher - Livro 2,Andrzej Sapkowski,"R$ 34,90","R$ 13,87",nov,Martins Fontes,2020,9788578275563,Português,['https://www.estantevirtual.com.br/letrasecia'],100% Positivas
O último Desejo,Andrzej Sapkowski,"R$ 35,00","R$ 11,87",seminovo/usad,Martins Fontes,2016,9788578273743,Português,['https://www.estantevirtual.com.br/sebojoaobrandao'],100% Positivas
O Sangue dos Elfos,Andrzej Sapkowski,"R$ 35,00","R$ 10,61",seminovo/usad,Martins Fontes,2013,9788578276850,Português,['https://www.estantevirtual.com.br/sabialivros'],91% Positivas
Tempo do Desprezo,Andrzej Sapkowski,"R$ 26,91","R$ 10,61",seminovo/usad,Martins Fontes,2014,9788578278427,Português,['https://www.estantevirtual.com.br/sebokapricho'],100% Positivas
Batismo de Fogo,Andrzej Sapkowski,"R$ 25,00","R$ 12,29",seminovo/usad,Wmf Martinsfontes,2015,9788578279851,Português,['https://www.estantevirtual.com.br/sebo-parada-obrigatoria'],100% Positivas
A TORRE DA ANDORINHA - THE WITCHER - A SAGA DO BRUXO GERALT DE RÍVIA,Andrzej Sapkowski,"R$ 45,02","R$ 10,61",nov,WMF MARTINS FONTES,2016,9788546900886,Português,['https://www.estantevirtual.com.br/pook-book'],98% Positivas
A Senhora do Lago - the Witcher - a Saga do Bruxo Geralt de Rívia,Andrzej Sapkowski,"R$ 36,90","R$ 9,40",nov,Martins Fontes,2017,9788546901562,Português,['https://www.estantevirtual.com.br/sebocaprichoi'],99% Positivas
A Guerra dos Tronos - Volume 1,George R. R. Martin,"R$ 11,90","R$ 17,08",seminovo/usad,Ley,2010,9788562936524,Inglês,['https://www.estantevirtual.com.br/sebotraca'],100% Positivas
A Fúria dos Reis: as Crônicas de Gelo e Fogo Livro 2,George R. R. Martin,"R$ 8,00","R$ 22,19",seminovo/usad,Ley,2011,9788580440270,Português,['https://www.estantevirtual.com.br/sebomisterioso'],99% Positivas
Tormenta de Espadas - as Crônicas de Gelo e Fogo -,George R. R. Martin,"R$ 7,90","R$ 22,19",seminovo/usad,Ley,2011,9788580442625,Português,['https://www.estantevirtual.com.br/livro_cia'],100% Positivas
O Festim dos Corvos - as Crônicas de Gelo e Fogo Livro Quatro,George R. R. Martin,"R$ 10,00","R$ 14,87",seminovo/usad,Ley,2012,9788580446296,Português,['https://www.estantevirtual.com.br/livrosuniverso'],100% Positivas
A Dança dos Dragões as Crônicas de Gelo e Fogo,George R. R. Martin,"R$ 6,00","R$ 22,19",seminovo/usad,Ley,2012,9788580444933,Português,['https://www.estantevirtual.com.br/sebomisterioso'],99% Positivas
